"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Iceland","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","166",""
"Iceland","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","209",""
"Iceland","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","197",""
"Iceland","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","182",""
"Iceland","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","196",""
"Iceland","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","186",""
"Iceland","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","174",""
"Iceland","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","177",""
"Iceland","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","196",""
"Iceland","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","209",""
"Iceland","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","205",""
"Iceland","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","2254",""
"Iceland","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","223",""
"Iceland","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","195",""
"Iceland","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","188",""
"Iceland","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","206",""
"Iceland","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","191",""
"Iceland","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","187",""
"Iceland","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","157",""
"Iceland","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","171",""
"Iceland","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","175",""
"Iceland","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","207",""
"Iceland","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","165",""
"Iceland","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","189",""
"Iceland","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","2238",""
"Iceland","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","207",""
"Iceland","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","206",""
"Iceland","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","185",""
"Iceland","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","183",""
"Iceland","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","190",""
"Iceland","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","183",""
"Iceland","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","187",""
"Iceland","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","168",""
"Iceland","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","178",""
"Iceland","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","179",""
"Iceland","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","191",""
"Iceland","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","181",""
"Iceland","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","2309",""
"Iceland","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","209",""
"Iceland","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","171",""
"Iceland","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","201",""
"Iceland","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","206",""
"Iceland","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","170",""
"Iceland","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","177",""
"Iceland","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","205",""
"Iceland","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","168",""
"Iceland","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","212",""
"Iceland","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","213",""
"Iceland","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","179",""
"Iceland","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","198",""
"Iceland","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","2178",""
"Iceland","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","206",""
"Iceland","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","201",""
"Iceland","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","186",""
"Iceland","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","182",""
"Iceland","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","198",""
"Iceland","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","153",""
"Iceland","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","181",""
"Iceland","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","174",""
"Iceland","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","177",""
"Iceland","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","163",""
"Iceland","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","184",""
"Iceland","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","173",""
"Iceland","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","2049",""
"Iceland","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","189",""
"Iceland","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","164",""
"Iceland","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","187",""
"Iceland","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","141",""
"Iceland","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","174",""
"Iceland","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","168",""
"Iceland","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","164",""
"Iceland","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","173",""
"Iceland","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","168",""
"Iceland","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","164",""
"Iceland","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","171",""
"Iceland","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","186",""
"Iceland","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","2154",""
"Iceland","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","180",""
"Iceland","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","182",""
"Iceland","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","188",""
"Iceland","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","171",""
"Iceland","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","176",""
"Iceland","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","153",""
"Iceland","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","175",""
"Iceland","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","175",""
"Iceland","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","187",""
"Iceland","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","180",""
"Iceland","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","174",""
"Iceland","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","213",""
"Iceland","2013","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2015","0",""
"Iceland","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","1955",""
"Iceland","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","202",""
"Iceland","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","175",""
"Iceland","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","188",""
"Iceland","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","144",""
"Iceland","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","155",""
"Iceland","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","134",""
"Iceland","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","154",""
"Iceland","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","167",""
"Iceland","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","146",""
"Iceland","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","181",""
"Iceland","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","135",""
"Iceland","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","174",""
"Iceland","2012","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Iceland","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2012","1986",""
"Iceland","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2012","201",""
"Iceland","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2012","180",""
"Iceland","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2012","163",""
"Iceland","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2012","155",""
"Iceland","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2012","168",""
"Iceland","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2012","150",""
"Iceland","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2012","142",""
"Iceland","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2012","171",""
"Iceland","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2012","159",""
"Iceland","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2012","168",""
"Iceland","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2012","158",""
"Iceland","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2012","171",""
"Iceland","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2012","0",""
"Iceland","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","2020",""
"Iceland","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","175",""
"Iceland","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","139",""
"Iceland","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","159",""
"Iceland","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","191",""
"Iceland","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","189",""
"Iceland","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","155",""
"Iceland","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","165",""
"Iceland","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","166",""
"Iceland","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","166",""
"Iceland","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","187",""
"Iceland","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","146",""
"Iceland","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","182",""
"Iceland","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","0",""
"Iceland","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2010","2002",""
"Iceland","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2010","197",""
"Iceland","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2010","159",""
"Iceland","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2010","174",""
"Iceland","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2010","153",""
"Iceland","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2010","141",""
"Iceland","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2010","171",""
"Iceland","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2010","167",""
"Iceland","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2010","155",""
"Iceland","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2010","172",""
"Iceland","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2010","189",""
"Iceland","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2010","155",""
"Iceland","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2010","169",""
"Iceland","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2010","0",""
"Iceland","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2009","1987",""
"Iceland","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2009","177",""
"Iceland","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2009","171",""
"Iceland","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2009","188",""
"Iceland","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2009","192",""
"Iceland","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2009","157",""
"Iceland","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2009","161",""
"Iceland","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2009","151",""
"Iceland","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2009","163",""
"Iceland","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2009","177",""
"Iceland","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2009","127",""
"Iceland","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2009","157",""
"Iceland","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2009","166",""
"Iceland","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2009","0",""
"Iceland","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2008","1943",""
"Iceland","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2008","174",""
"Iceland","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2008","154",""
"Iceland","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2008","187",""
"Iceland","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2008","148",""
"Iceland","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2008","168",""
"Iceland","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2008","154",""
"Iceland","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2008","145",""
"Iceland","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2008","138",""
"Iceland","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2008","162",""
"Iceland","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2008","174",""
"Iceland","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2008","168",""
"Iceland","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2008","171",""
"Iceland","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2008","0",""
"Iceland","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2006","1836",""
"Iceland","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2006","191",""
"Iceland","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2006","194",""
"Iceland","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2006","157",""
"Iceland","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2006","140",""
"Iceland","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2006","150",""
"Iceland","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2006","134",""
"Iceland","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2006","138",""
"Iceland","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2006","126",""
"Iceland","2005","Total","September","Data tabulated by year of occurrence","Final figure, complete","2006","165",""
"Iceland","2005","Total","October","Data tabulated by year of occurrence","Final figure, complete","2006","136",""
"Iceland","2005","Total","November","Data tabulated by year of occurrence","Final figure, complete","2006","163",""
"Iceland","2005","Total","December","Data tabulated by year of occurrence","Final figure, complete","2006","142",""
"Iceland","2004","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2006","1824",""
"Iceland","2004","Total","January","Data tabulated by year of occurrence","Final figure, complete","2006","194",""
"Iceland","2004","Total","February","Data tabulated by year of occurrence","Final figure, complete","2006","155",""
"Iceland","2004","Total","March","Data tabulated by year of occurrence","Final figure, complete","2006","174",""
"Iceland","2004","Total","April","Data tabulated by year of occurrence","Final figure, complete","2006","145",""
"Iceland","2004","Total","May","Data tabulated by year of occurrence","Final figure, complete","2006","150",""
"Iceland","2004","Total","June","Data tabulated by year of occurrence","Final figure, complete","2006","132",""
"Iceland","2004","Total","July","Data tabulated by year of occurrence","Final figure, complete","2006","148",""
"Iceland","2004","Total","August","Data tabulated by year of occurrence","Final figure, complete","2006","161",""
"Iceland","2004","Total","September","Data tabulated by year of occurrence","Final figure, complete","2006","134",""
"Iceland","2004","Total","October","Data tabulated by year of occurrence","Final figure, complete","2006","126",""
"Iceland","2004","Total","November","Data tabulated by year of occurrence","Final figure, complete","2006","151",""
"Iceland","2004","Total","December","Data tabulated by year of occurrence","Final figure, complete","2006","154",""
"Iceland","2003","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2006","1827",""
"Iceland","2003","Total","January","Data tabulated by year of occurrence","Final figure, complete","2006","171",""
"Iceland","2003","Total","February","Data tabulated by year of occurrence","Final figure, complete","2006","140",""
"Iceland","2003","Total","March","Data tabulated by year of occurrence","Final figure, complete","2006","141",""
"Iceland","2003","Total","April","Data tabulated by year of occurrence","Final figure, complete","2006","145",""
"Iceland","2003","Total","May","Data tabulated by year of occurrence","Final figure, complete","2006","201",""
"Iceland","2003","Total","June","Data tabulated by year of occurrence","Final figure, complete","2006","130",""
"Iceland","2003","Total","July","Data tabulated by year of occurrence","Final figure, complete","2006","141",""
"Iceland","2003","Total","August","Data tabulated by year of occurrence","Final figure, complete","2006","148",""
"Iceland","2003","Total","September","Data tabulated by year of occurrence","Final figure, complete","2006","160",""
"Iceland","2003","Total","October","Data tabulated by year of occurrence","Final figure, complete","2006","129",""
"Iceland","2003","Total","November","Data tabulated by year of occurrence","Final figure, complete","2006","138",""
"Iceland","2003","Total","December","Data tabulated by year of occurrence","Final figure, complete","2006","183",""
"Iceland","2002","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","1821",""
"Iceland","2002","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","143",""
"Iceland","2002","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","144",""
"Iceland","2002","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","202",""
"Iceland","2002","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","178",""
"Iceland","2002","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","146",""
"Iceland","2002","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","173",""
"Iceland","2002","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","122",""
"Iceland","2002","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","146",""
"Iceland","2002","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","136",""
"Iceland","2002","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","140",""
"Iceland","2002","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","153",""
"Iceland","2002","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","138",""
"Iceland","2001","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","1725",""
"Iceland","2001","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","156",""
"Iceland","2001","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","129",""
"Iceland","2001","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","141",""
"Iceland","2001","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","143",""
"Iceland","2001","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","138",""
"Iceland","2001","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","146",""
"Iceland","2001","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","132",""
"Iceland","2001","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","156",""
"Iceland","2001","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","145",""
"Iceland","2001","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","153",""
"Iceland","2001","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","145",""
"Iceland","2001","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","141",""
"Iceland","2000","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","1876",""
"Iceland","2000","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","204",""
"Iceland","2000","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","155",""
"Iceland","2000","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","161",""
"Iceland","2000","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","127",""
"Iceland","2000","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","154",""
"Iceland","2000","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","134",""
"Iceland","2000","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","140",""
"Iceland","2000","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","170",""
"Iceland","2000","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","160",""
"Iceland","2000","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","154",""
"Iceland","2000","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","158",""
"Iceland","2000","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","159",""
"Iceland","1999","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2003","1901",""
"Iceland","1999","Total","January","Data tabulated by year of occurrence","Final figure, complete","2003","187",""
"Iceland","1999","Total","February","Data tabulated by year of occurrence","Final figure, complete","2003","165",""
"Iceland","1999","Total","March","Data tabulated by year of occurrence","Final figure, complete","2003","183",""
"Iceland","1999","Total","April","Data tabulated by year of occurrence","Final figure, complete","2003","144",""
"Iceland","1999","Total","May","Data tabulated by year of occurrence","Final figure, complete","2003","164",""
"Iceland","1999","Total","June","Data tabulated by year of occurrence","Final figure, complete","2003","146",""
"Iceland","1999","Total","July","Data tabulated by year of occurrence","Final figure, complete","2003","147",""
"Iceland","1999","Total","August","Data tabulated by year of occurrence","Final figure, complete","2003","168",""
"Iceland","1999","Total","September","Data tabulated by year of occurrence","Final figure, complete","2003","122",""
"Iceland","1999","Total","October","Data tabulated by year of occurrence","Final figure, complete","2003","155",""
"Iceland","1999","Total","November","Data tabulated by year of occurrence","Final figure, complete","2003","142",""
"Iceland","1999","Total","December","Data tabulated by year of occurrence","Final figure, complete","2003","178",""
"Iceland","1998","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","1821",""
"Iceland","1998","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","173",""
"Iceland","1998","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","157",""
"Iceland","1998","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","161",""
"Iceland","1998","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","152",""
"Iceland","1998","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","130",""
"Iceland","1998","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","131",""
"Iceland","1998","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","130",""
"Iceland","1998","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","175",""
"Iceland","1998","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","150",""
"Iceland","1998","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","154",""
"Iceland","1998","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","149",""
"Iceland","1998","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","159",""
"Iceland","1997","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1999","1843",""
"Iceland","1997","Total","January","Data tabulated by year of occurrence","Final figure, complete","1999","175",""
"Iceland","1997","Total","February","Data tabulated by year of occurrence","Final figure, complete","1999","149",""
"Iceland","1997","Total","March","Data tabulated by year of occurrence","Final figure, complete","1999","166",""
"Iceland","1997","Total","April","Data tabulated by year of occurrence","Final figure, complete","1999","137",""
"Iceland","1997","Total","May","Data tabulated by year of occurrence","Final figure, complete","1999","143",""
"Iceland","1997","Total","June","Data tabulated by year of occurrence","Final figure, complete","1999","168",""
"Iceland","1997","Total","July","Data tabulated by year of occurrence","Final figure, complete","1999","140",""
"Iceland","1997","Total","August","Data tabulated by year of occurrence","Final figure, complete","1999","161",""
"Iceland","1997","Total","September","Data tabulated by year of occurrence","Final figure, complete","1999","170",""
"Iceland","1997","Total","October","Data tabulated by year of occurrence","Final figure, complete","1999","164",""
"Iceland","1997","Total","November","Data tabulated by year of occurrence","Final figure, complete","1999","122",""
"Iceland","1997","Total","December","Data tabulated by year of occurrence","Final figure, complete","1999","148",""
"Iceland","1996","Total","Total","Data tabulated by year of occurrence","Final figure, complete","1997","1879",""
"Iceland","1996","Total","January","Data tabulated by year of occurrence","Final figure, complete","1997","190",""
"Iceland","1996","Total","February","Data tabulated by year of occurrence","Final figure, complete","1997","164",""
